Year,Life_expectancy,PE_Value,Lifetime,Fair _PE,Floor_PE
1872,37,11.9,0.32,10.36,2.07
1873,37.2,12.25,0.33,10.42,2.08
1874,37.5,11.33,0.3,10.5,2.1
1875,37.8,11.41,0.3,10.58,2.12
1876,38,11.79,0.31,10.64,2.13
1877,38.2,9.52,0.25,10.7,3.57
1878,38.5,10.57,0.27,10.78,3.59
1879,38.8,12.87,0.33,10.86,3.62
1880,39,14.87,0.38,10.92,3.64
1881,39.2,18.47,0.47,10.98,3.66
1882,39.4,15.68,0.4,11.03,3.68
1883,39.6,15.27,0.39,11.09,3.7
1884,39.8,14.43,0.36,11.14,3.71
1885,40,13.13,0.33,11.2,3.73
1886,40.2,16.7,0.42,11.26,3.75
1887,40.4,17.52,0.43,11.31,3.77
1888,40.6,15.36,0.38,11.37,3.79
1889,40.8,15.81,0.39,11.42,3.81
1890,41,17.22,0.42,11.48,3.83
1891,41.5,15.43,0.37,11.62,3.87
1892,42,19.01,0.45,11.76,3.92
1893,42.5,17.65,0.42,11.9,3.97
1894,43,15.74,0.37,12.04,4.01
1895,43.5,16.51,0.38,12.18,4.06
1896,44,16.58,0.38,12.32,4.11
1897,44.5,17.03,0.38,12.46,4.15
1898,45,19.25,0.43,12.6,4.2
1899,45.5,22.92,0.5,12.74,4.25
1900,46,18.67,0.41,12.88,4.29
1901,46.5,20.97,0.45,13.02,4.34
1902,47,22.34,0.48,13.16,4.39
1903,47.5,20.32,0.43,13.3,4.43
1904,48,15.86,0.33,13.44,4.48
1905,48.5,18.46,0.38,13.58,4.53
1906,49,20.13,0.41,13.72,4.57
1907,49.5,17.22,0.35,13.86,4.62
1908,50,11.9,0.24,14,4.67
1909,50.5,14.77,0.29,14.14,4.71
1910,51,14.54,0.29,14.28,4.76
1911,51.7,14.05,0.27,14.48,4.83
1912,52.3,13.8,0.26,14.64,4.88
1913,53,13.15,0.25,14.84,4.95
1914,51.5,11.64,0.23,14.42,4.81
1915,50,10.36,0.21,14,4.67
1916,46.7,12.54,0.27,13.08,4.36
1917,43.3,10.99,0.25,12.12,4.04
1918,40,6.64,0.17,11.2,3.73
1919,47,6.1,0.13,13.16,4.39
1920,54,5.99,0.11,15.12,5.04
1921,54.6,5.12,0.09,15.29,5.1
1922,55.2,6.29,0.11,15.46,5.15
1923,55.8,8.15,0.15,15.62,5.21
1924,56.4,8.07,0.14,15.79,5.26
1925,57,9.69,0.17,15.96,5.32
1926,57.6,11.34,0.2,16.13,5.38
1927,58.2,13.19,0.23,16.3,5.43
1928,58.8,18.81,0.32,16.46,5.49
1929,59.4,27.08,0.46,16.63,5.54
1930,60,22.31,0.37,16.8,5.6
1931,60.2,16.71,0.28,16.86,5.62
1932,60.4,9.31,0.15,16.91,5.64
1933,60.6,8.73,0.14,16.97,5.66
1934,60.8,13.03,0.21,17.02,5.67
1935,61,11.5,0.19,17.08,5.69
1936,61.4,17.09,0.28,17.19,5.73
1937,61.8,21.62,0.35,17.3,5.77
1938,62.2,13.51,0.22,17.42,5.81
1939,62.6,15.6,0.25,17.53,5.84
1940,63,16.38,0.26,17.64,5.88
1941,62.3,13.9,0.22,17.44,5.81
1942,61.7,10.1,0.16,17.28,5.76
1943,61,10.15,0.17,17.08,5.69
1944,61.5,11.05,0.18,17.22,5.74
1945,62,11.96,0.19,17.36,5.79
1946,62.8,15.62,0.25,17.58,5.86
1947,63.6,11.47,0.18,17.81,5.94
1948,64.4,10.42,0.16,18.03,6.01
1949,65.2,10.25,0.16,18.26,6.09
1950,66,10.75,0.16,18.48,6.16
1951,66.4,11.9,0.18,18.59,6.2
1952,66.8,12.53,0.19,18.7,6.23
1953,67.2,13.01,0.19,18.82,6.27
1954,67.6,12,0.18,18.93,6.31
1955,68,15.99,0.24,19.04,6.35
1956,68.4,18.29,0.27,19.15,6.38
1957,68.8,16.72,0.24,19.26,6.42
1958,69.2,13.79,0.2,19.38,6.46
1959,69.6,17.98,0.26,19.49,6.5
1960,70,18.34,0.26,19.6,6.53
1961,70.2,18.47,0.26,19.66,6.55
1962,70.4,21.2,0.3,19.71,6.57
1963,70.6,19.26,0.27,19.77,6.59
1964,70.8,21.63,0.31,19.82,6.61
1965,71,23.27,0.33,19.88,6.63
1966,71.1,24.06,0.34,19.91,6.64
1967,71.2,20.43,0.29,19.94,6.65
1968,71.3,21.51,0.3,19.96,6.65
1969,71.4,21.19,0.3,19.99,6.66
1970,71.5,17.09,0.24,20.02,6.67
1971,71.7,16.46,0.23,20.08,6.69
1972,71.9,17.26,0.24,20.13,6.71
1973,72.1,18.71,0.26,20.19,6.73
1974,72.3,13.53,0.19,20.24,6.75
1975,72.5,8.92,0.12,20.3,6.77
1976,72.8,11.19,0.15,20.38,6.79
1977,73.1,11.44,0.16,20.47,6.82
1978,73.4,9.24,0.13,20.55,6.85
1979,73.7,9.26,0.13,20.64,6.88
1980,74,8.85,0.12,20.72,6.91
1981,74.2,9.26,0.12,20.78,6.93
1982,74.4,7.39,0.1,20.83,6.94
1983,74.6,8.76,0.12,20.89,6.96
1984,74.8,9.89,0.13,20.94,6.98
1985,75,10,0.13,21,7
1986,75.2,11.72,0.16,21.06,7.02
1987,75.4,14.92,0.2,21.11,7.04
1988,75.6,13.9,0.18,21.17,7.06
1989,75.8,15.09,0.2,21.22,7.07
1990,76,17.05,0.22,21.28,7.09
1991,76.2,15.61,0.2,21.34,7.11
1992,76.4,19.77,0.26,21.39,7.13
1993,76.6,20.32,0.27,21.45,7.15
1994,76.8,21.41,0.28,21.5,7.17
1995,77,20.22,0.26,21.56,7.19
1996,77.2,24.76,0.32,21.62,7.21
1997,77.4,28.33,0.37,21.67,7.22
1998,77.6,32.86,0.42,21.73,7.24
1999,77.8,40.57,0.52,21.78,7.26
2000,78,43.77,0.56,21.84,7.28
2001,78.2,36.98,0.47,21.9,7.3
2002,78.4,30.28,0.39,21.95,7.32
2003,78.6,22.9,0.29,22.01,7.34
2004,78.8,27.66,0.35,22.06,7.35
2005,79,26.59,0.34,22.12,7.37
2006,79.2,26.47,0.33,22.18,7.39
2007,79.4,27.21,0.34,22.23,7.41
2008,79.6,24.02,0.3,22.29,7.43
2009,79.8,15.17,0.19,22.34,7.45
2010,80,20.53,0.26,22.4,7.47
2011,80.2,22.98,0.29,22.46,7.49
2012,80.3,21.21,0.26,22.48,7.49
2013,80.5,21.9,0.27,22.54,7.51
2014,80.6,24.86,0.31,22.57,7.52
2015,80.8,26.49,0.33,22.62,7.54
